  ,Class,Confidence,X,Y,Width,Height
15-09-2025 12:47,LDPE,0.622936904,618,314,44,45
15-09-2025 12:47,LDPE,0.605814636,421,17,44,35
15-09-2025 12:47,LDPE,0.527543247,577,170,124,52
15-09-2025 12:48,LDPE,0.682011604,56,457,112,45
15-09-2025 12:48,LDPE,0.708013177,565,452,147,56
15-09-2025 12:48,LDPE,0.80252409,338,191,46,43
15-09-2025 12:48,LDPE,0.794392884,16,287,33,38
15-09-2025 12:48,LDPE,0.772555172,58,285,64,36
15-09-2025 12:48,LDPE,0.710761249,100,106,49,54
15-09-2025 12:48,LDPE,0.667554021,343,270,37,40
15-09-2025 12:48,LDPE,0.59787637,51,170,44,47
15-09-2025 12:48,LDPE,0.563570321,415,309,34,23
15-09-2025 12:48,LDPE,0.553623736,154,107,34,49
15-09-2025 12:48,LDPE,0.499845862,315,231,28,39
15-09-2025 12:48,LDPE,0.476266801,44,232,56,72
15-09-2025 12:48,LDPE,0.400531232,447,243,41,40
15-09-2025 12:48,HDPE,0.640357435,51,122,18,14
15-09-2025 12:48,HDPE,0.501333952,30,182,20,15
15-09-2025 12:48,HDPE,0.429114163,94,143,15,12
15-09-2025 12:48,LDPE,0.857097507,585,71,105,86
15-09-2025 12:48,LDPE,0.605998218,536,159,83,111
15-09-2025 12:48,LDPE,0.524043679,533,261,214,81
15-09-2025 12:50,LDPE,0.845366478,221,218,113,53
15-09-2025 12:51,LDPE,0.927899003,566,201,53,31
15-09-2025 12:51,LDPE,0.577236712,585,460,107,40
15-09-2025 12:51,LDPE,0.478204846,71,123,142,38
15-09-2025 12:51,LDPE,0.588154912,600,457,79,44
15-09-2025 12:52,LDPE,0.550502777,567,457,144,44
15-09-2025 12:52,LDPE,0.891202092,74,448,149,63
15-09-2025 12:52,LDPE,0.422967374,251,386,48,78
15-09-2025 12:52,LDPE,0.433575749,46,192,92,68
15-09-2025 12:53,LDPE,0.890820384,456,452,83,55
15-09-2025 12:53,LDPE,0.420327783,599,197,81,53
15-09-2025 12:53,LDPE,0.406146407,14,437,29,79
15-09-2025 12:54,PS,0.892750502,279,320,68,76
15-09-2025 12:54,LDPE,0.794820428,22,464,45,31
15-09-2025 12:54,LDPE,0.744866133,509,411,97,78
15-09-2025 12:54,LDPE,0.703662694,46,218,93,100
15-09-2025 12:54,LDPE,0.663936913,63,316,124,112
15-09-2025 12:54,LDPE,0.539131224,332,341,89,62
15-09-2025 12:54,LDPE,0.571733773,245,59,149,115
15-09-2025 12:54,LDPE,0.570883989,93,59,186,117
15-09-2025 12:54,LDPE,0.863619208,78,43,67,86
15-09-2025 12:54,LDPE,0.819786191,339,190,159,121
15-09-2025 12:54,LDPE,0.773892641,252,51,120,91
15-09-2025 12:54,LDPE,0.492241144,315,398,134,90
15-09-2025 12:54,LDPE,0.519634426,31,48,62,96
15-09-2025 12:54,LDPE,0.517688513,573,173,130,62
15-09-2025 12:54,LDPE,0.479920447,588,402,103,39
15-09-2025 12:54,LDPE,0.913320065,78,434,68,49
15-09-2025 12:54,LDPE,0.569953144,54,137,109,65
15-09-2025 18:13,LDPE,0.761710882,793,506,72,36
15-09-2025 18:13,LDPE,0.761130571,1049,504,58,91
15-09-2025 18:13,LDPE,0.758165777,1052,211,37,43
15-09-2025 18:13,LDPE,0.617200613,774,390,45,31
15-09-2025 18:13,LDPE,0.575517893,928,204,30,75
15-09-2025 18:13,LDPE,0.53863579,776,446,53,32
15-09-2025 18:13,LDPE,0.53161025,898,247,41,31
15-09-2025 18:13,LDPE,0.518208802,538,459,123,67
15-09-2025 18:13,LDPE,0.477122545,735,439,29,33
15-09-2025 18:13,LDPE,0.413651586,880,450,47,38
15-09-2025 18:13,LDPE,0.669747591,1052,211,37,40
15-09-2025 18:13,LDPE,0.668705463,1051,502,61,92
15-09-2025 18:13,PS,0.538563788,19,230,39,96
15-09-2025 18:13,LDPE,0.506854355,926,198,32,87
15-09-2025 18:13,PS,0.499555945,1228,186,62,77
15-09-2025 18:13,LDPE,0.426114023,1122,268,86,32
15-09-2025 18:13,LDPE,0.715762258,973,570,63,44
15-09-2025 18:13,LDPE,0.68478936,1051,501,58,92
15-09-2025 18:13,LDPE,0.644154072,914,284,46,29
15-09-2025 18:13,LDPE,0.57422334,878,236,90,37
15-09-2025 18:13,LDPE,0.565062284,950,443,53,38
15-09-2025 18:13,LDPE,0.542111039,1052,210,37,41
15-09-2025 18:13,PS,0.5348984,18,229,36,97
15-09-2025 18:13,LDPE,0.722316861,1048,503,59,93
15-09-2025 18:13,LDPE,0.635692537,827,395,68,37
15-09-2025 18:13,LDPE,0.59189415,1052,211,36,42
15-09-2025 18:13,PS,0.582133293,1224,186,51,77
15-09-2025 18:13,LDPE,0.625088274,1046,502,53,91
15-09-2025 18:13,LDPE,0.59599328,1052,211,35,42
15-09-2025 18:13,PS,0.419680774,1224,185,54,75
15-09-2025 18:14,LDPE,0.573155403,1051,210,35,43
15-09-2025 18:14,LDPE,0.530458033,1048,506,48,99
15-09-2025 18:14,PS,0.518391669,1223,185,51,77
15-09-2025 18:14,LDPE,0.811426938,592,211,103,36
15-09-2025 18:14,PS,0.671274126,1226,185,53,76
15-09-2025 18:14,LDPE,0.610869527,43,244,44,88
15-09-2025 18:14,LDPE,0.48052609,1046,509,43,102
15-09-2025 18:14,LDPE,0.419511676,448,573,63,105
15-09-2025 18:14,LDPE,0.817910612,1051,210,37,46
15-09-2025 18:14,LDPE,0.786014378,596,212,106,36
15-09-2025 18:14,LDPE,0.714535058,42,246,45,96
15-09-2025 18:14,PS,0.657566428,629,603,97,102
15-09-2025 18:14,LDPE,0.595574558,448,573,66,105
15-09-2025 18:14,LDPE,0.812141657,606,213,106,37
15-09-2025 18:14,LDPE,0.794390738,81,647,117,141
15-09-2025 18:14,PS,0.725458145,453,573,70,107
15-09-2025 18:14,PS,0.703151703,638,608,91,103
15-09-2025 18:14,LDPE,0.62532866,1052,210,37,45
15-09-2025 18:14,LDPE,0.460429609,97,292,187,203
15-09-2025 18:14,PS,0.887074172,633,615,92,104
15-09-2025 18:14,LDPE,0.776913464,615,218,119,36
15-09-2025 18:14,LDPE,0.768843889,1052,212,36,46
15-09-2025 18:14,PS,0.709584475,452,576,72,106
