Timestamp,Class,Confidence,X,Y,Width,Height,ParticleSize_�m
28-09-2025 09:13,LDPE,0.921510041,973,651,134,123,256.76
28-09-2025 09:13,LDPE,0.71786505,565,312,91,131,218.37
2025-09-28 10:49:36,PS,0.7093122005462646,150,700,167,39,161.41
2025-09-28 10:49:36,PS,0.697157084941864,564,602,204,236,438.83
2025-09-28 10:49:36,PS,0.5326772928237915,535,408,131,227,344.89
2025-09-28 10:49:36,LDPE,0.530418336391449,1130,682,60,75,134.16
2025-09-28 10:49:36,PS,0.4975402355194092,872,10,130,20,101.98
2025-09-28 10:49:36,PS,0.4092487692832947,194,11,171,23,125.43
2025-09-28 10:49:36,PS_count,5,,,,,
2025-09-28 10:49:36,LDPE_count,1,,,,,
2025-09-28 10:49:40,PS,0.7353804111480713,104,702,73,36,102.53
2025-09-28 10:49:40,PS,0.5065789818763733,288,671,159,98,249.66
2025-09-28 10:49:40,PS,0.46325749158859253,183,701,87,37,113.47
2025-09-28 10:49:40,PS,0.44583767652511597,573,416,50,95,137.84
2025-09-28 10:49:40,LDPE,0.41666048765182495,55,622,110,170,273.5
2025-09-28 10:49:40,PS_count,4,,,,,
2025-09-28 10:49:40,LDPE_count,1,,,,,
2025-09-28 10:50:28,PS,0.7141657471656799,103,703,72,34,98.95
2025-09-28 10:50:28,LDPE,0.6572737097740173,281,672,145,95,234.73
2025-09-28 10:50:28,LDPE,0.5382636785507202,75,169,95,163,248.88
2025-09-28 10:50:28,PS,0.47893983125686646,183,701,87,37,113.47
2025-09-28 10:50:28,PS_count,2,,,,,
2025-09-28 10:50:28,LDPE_count,2,,,,,
2025-09-28 10:50:42,PS,0.7694952487945557,794,668,188,103,278.31
2025-09-28 10:50:42,LDPE,0.6894654631614685,310,672,208,96,282.62
2025-09-28 10:50:42,PS,0.526283323764801,103,703,65,34,94.02
2025-09-28 10:50:42,PS,0.4653858542442322,187,702,83,36,109.33
2025-09-28 10:50:42,PS,0.463420033454895,316,671,223,98,295.66
2025-09-28 10:50:42,PS_count,4,,,,,
2025-09-28 10:50:42,LDPE_count,1,,,,,
2025-09-28 10:50:45,PS,0.4825681447982788,894,517,111,147,255.48
2025-09-28 10:50:45,PS,0.4554436206817627,105,703,67,34,95.46
2025-09-28 10:50:45,PS,0.4429475665092468,186,702,85,35,109.09
2025-09-28 10:50:45,PS,0.4278765320777893,319,670,236,100,307.25
2025-09-28 10:50:45,PS_count,4,,,,,
2025-09-28 10:50:49,PS,0.5793697237968445,566,613,188,212,399.28
2025-09-28 10:50:49,PS,0.478909969329834,315,671,226,98,297.64
2025-09-28 10:50:49,PS,0.47289836406707764,102,703,73,33,98.16
2025-09-28 10:50:49,LDPE,0.4259788990020752,313,672,218,96,289.33
2025-09-28 10:50:49,PS_count,3,,,,,
2025-09-28 10:50:49,LDPE_count,1,,,,,
2025-09-28 10:50:52,PS,0.6836913824081421,104,702,68,35,97.57
2025-09-28 10:50:52,PS,0.6610708236694336,929,671,140,97,233.07
2025-09-28 10:50:52,PS,0.5016299486160278,164,701,132,38,141.65
2025-09-28 10:50:52,LDPE,0.49397581815719604,74,165,94,166,249.83
2025-09-28 10:50:52,PS,0.46913307905197144,286,670,151,100,245.76
2025-09-28 10:50:52,LDPE,0.43278539180755615,1244,195,62,180,211.28
2025-09-28 10:50:52,LDPE,0.4008679986000061,287,670,158,99,250.14
2025-09-28 10:50:52,PS_count,4,,,,,
2025-09-28 10:50:52,LDPE_count,3,,,,,
2025-09-28 10:50:56,PS,0.6317782402038574,102,702,73,35,101.09
